experiment_domain,trial_id,repetition,random_seed,injected_failure_type,injected_severity,expected_root_cause,failure_detected,detected_failure_category,detection_correct,predicted_root_cause,classification_correct,classification_confidence,remediation_action,remediation_executed,human_approval_required,cycle_status,recovery_verified,input_record_count,output_record_count,quarantined_record_count,runtime_milliseconds,original_size_bytes,observed_size_bytes,regenerated_size_bytes,checksum_restored
dataframe,source_failure-high-r001-s12043,1,12043,source_failure,high,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.4881,,,,
dataframe,source_failure-high-r002-s12044,2,12044,source_failure,high,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.9227,,,,
dataframe,source_failure-high-r003-s12045,3,12045,source_failure,high,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.8519,,,,
dataframe,source_failure-high-r004-s12046,4,12046,source_failure,high,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.6702,,,,
dataframe,source_failure-high-r005-s12047,5,12047,source_failure,high,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.7929,,,,
dataframe,source_failure-high-r006-s12048,6,12048,source_failure,high,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.5364,,,,
dataframe,source_failure-high-r007-s12049,7,12049,source_failure,high,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.3914,,,,
dataframe,source_failure-high-r008-s12050,8,12050,source_failure,high,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,6.0473,,,,
dataframe,source_failure-high-r009-s12051,9,12051,source_failure,high,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.745,,,,
dataframe,source_failure-high-r010-s12052,10,12052,source_failure,high,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.7834,,,,
dataframe,source_failure-high-r011-s12053,11,12053,source_failure,high,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.8073,,,,
dataframe,source_failure-high-r012-s12054,12,12054,source_failure,high,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.6414,,,,
dataframe,source_failure-high-r013-s12055,13,12055,source_failure,high,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.5169,,,,
dataframe,source_failure-high-r014-s12056,14,12056,source_failure,high,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.495,,,,
